time DOAR  MEZC  IGUA 
0.0 1317.149 841.1974 570.0342
156.001800077 4178.8 2810.739 1801.862
156.002800769 4178.841 2810.78 1801.9
156.00380146 4178.881 2810.82 1801.937
156.004802152 4178.922 2810.86 1801.974
156.005802843 4178.963 2810.9 1802.012
156.006803535 4179.004 2810.941 1802.049
156.007804226 4179.044 2810.981 1802.087
156.008804918 4179.085 2811.021 1802.124
156.009805609 4179.126 2811.061 1802.161
156.010806301 4179.167 2811.102 1802.199
156.011806992 4179.207 2811.142 1802.236
156.012807684 4179.248 2811.182 1802.274
156.013808375 4179.289 2811.222 1802.311
156.014809067 4179.33 2811.263 1802.348
156.015809758 4179.37 2811.303 1802.386
156.01681045 4179.411 2811.343 1802.423
156.017811141 4179.452 2811.383 1802.46
156.018811833 4179.492 2811.424 1802.498
156.019812524 4179.533 2811.464 1802.535
156.020813216 4179.574 2811.504 1802.573
156.021813907 4179.615 2811.544 1802.61
156.022814599 4179.655 2811.585 1802.647
156.02381529 4179.696 2811.625 1802.685
156.024815982 4179.737 2811.665 1802.722
156.025816673 4179.778 2811.705 1802.76
156.026817365 4179.818 2811.746 1802.797
156.027818056 4179.859 2811.786 1802.834
156.028818748 4179.9 2811.826 1802.872
156.029819439 4179.941 2811.866 1802.909
156.030820131 4179.981 2811.907 1802.946
156.031820822 4180.022 2811.947 1802.984
156.032821514 4180.063 2811.987 1803.021
156.033822205 4180.104 2812.027 1803.059
156.034822897 4180.144 2812.068 1803.096
156.035823588 4180.185 2812.108 1803.133
156.03682428 4180.226 2812.148 1803.171
156.037824971 4180.266 2812.188 1803.208
156.038825663 4180.307 2812.229 1803.246
156.039826354 4180.348 2812.269 1803.283
156.040827046 4180.389 2812.309 1803.32
156.041827737 4180.429 2812.349 1803.358
156.042828429 4180.47 2812.39 1803.395
156.04382912 4180.511 2812.43 1803.432
156.044829812 4180.552 2812.47 1803.47
156.045830503 4180.592 2812.51 1803.507
156.046831195 4180.633 2812.551 1803.545
156.047831886 4180.674 2812.591 1803.582
156.048832578 4180.715 2812.631 1803.619
156.049833269 4180.755 2812.671 1803.657
156.050833961 4180.796 2812.712 1803.694
156.051834652 4180.837 2812.752 1803.732
156.052835344 4180.878 2812.792 1803.769
156.053836035 4180.918 2812.832 1803.806
156.054836727 4180.959 2812.873 1803.844
156.055837418 4181.0 2812.913 1803.881
156.05683811 4181.041 2812.953 1803.918
156.057838801 4181.081 2812.993 1803.956
156.058839493 4181.122 2813.034 1803.993
156.059840184 4181.163 2813.074 1804.031
156.060840876 4181.203 2813.114 1804.068
156.061841567 4181.244 2813.154 1804.105
156.062842259 4181.285 2813.195 1804.143
156.06384295 4181.326 2813.235 1804.18
156.064843642 4181.366 2813.275 1804.218
156.065844333 4181.407 2813.315 1804.255
156.066845025 4181.448 2813.356 1804.292
156.067845716 4181.489 2813.396 1804.33
156.068846408 4181.529 2813.436 1804.367
156.069847099 4181.57 2813.476 1804.404
156.070847791 4181.611 2813.517 1804.442
156.071848482 4181.652 2813.557 1804.479
156.072849174 4181.692 2813.597 1804.517
156.073849865 4181.733 2813.637 1804.554
156.074850557 4181.774 2813.678 1804.591
156.075851248 4181.815 2813.718 1804.629
156.07685194 4181.855 2813.758 1804.666
156.077852631 4181.896 2813.798 1804.704
156.078853323 4181.937 2813.839 1804.741
156.079854014 4181.978 2813.879 1804.778
156.080854706 4182.018 2813.919 1804.816
156.081855397 4182.059 2813.959 1804.853
156.082856089 4182.1 2814.0 1804.891
156.08385678 4182.14 2814.04 1804.928
156.084857472 4182.181 2814.08 1804.965
156.085858163 4182.222 2814.12 1805.003
156.086858855 4182.263 2814.161 1805.04
156.087859546 4182.303 2814.201 1805.077
156.088860238 4182.344 2814.241 1805.115
156.089860929 4182.385 2814.281 1805.152
156.090861621 4182.426 2814.322 1805.19
156.091862312 4182.466 2814.362 1805.227
156.092863004 4182.507 2814.402 1805.264
156.093863695 4182.548 2814.442 1805.302
156.094864387 4182.589 2814.483 1805.339
156.095865078 4182.629 2814.523 1805.377
156.09686577 4182.67 2814.563 1805.414
156.097866461 4182.711 2814.603 1805.451
156.098867153 4182.752 2814.644 1805.489
156.099867844 4182.792 2814.684 1805.526
156.100868536 4182.833 2814.724 1805.564
156.101869227 4182.874 2814.764 1805.601
156.102869919 4182.915 2814.805 1805.638
156.10387061 4182.955 2814.845 1805.676
156.104871302 4182.996 2814.885 1805.713
156.105871993 4183.037 2814.925 1805.75
156.106872685 4183.078 2814.966 1805.788
156.107873376 4183.118 2815.006 1805.825
156.108874067 4183.159 2815.046 1805.863
156.109874759 4183.2 2815.086 1805.9
156.11087545 4183.24 2815.127 1805.937
156.111876142 4183.281 2815.167 1805.975
156.112876833 4183.322 2815.207 1806.012
156.113877525 4183.363 2815.247 1806.05
156.114878216 4183.403 2815.288 1806.087
156.115878908 4183.444 2815.328 1806.124
156.116879599 4183.485 2815.368 1806.162
156.117880291 4183.526 2815.408 1806.199
156.118880982 4183.566 2815.449 1806.237
156.119881674 4183.607 2815.489 1806.274
156.120882365 4183.648 2815.529 1806.311
156.121883057 4183.689 2815.569 1806.349
156.122883748 4183.729 2815.61 1806.386
156.12388444 4183.77 2815.65 1806.424
156.124885131 4183.811 2815.69 1806.461
156.125885823 4183.852 2815.73 1806.498
156.126886514 4183.892 2815.771 1806.536
156.127887206 4183.933 2815.811 1806.573
156.128887897 4183.974 2815.851 1806.61
156.129888589 4184.015 2815.891 1806.648
156.13088928 4184.055 2815.932 1806.685
156.131889972 4184.096 2815.972 1806.723
156.132890663 4184.137 2816.012 1806.76
156.133891355 4184.178 2816.052 1806.797
156.134892046 4184.218 2816.093 1806.835
156.135892738 4184.259 2816.133 1806.872
156.136893429 4184.3 2816.173 1806.91
156.137894121 4184.341 2816.213 1806.947
156.138894812 4184.381 2816.254 1806.984
156.139895504 4184.422 2816.294 1807.022
156.140896195 4184.463 2816.334 1807.059
156.141896887 4184.504 2816.374 1807.097
156.142897578 4184.544 2816.415 1807.134
156.14389827 4184.585 2816.455 1807.171
156.144898961 4184.626 2816.495 1807.209
156.145899653 4184.667 2816.535 1807.246
156.146900344 4184.707 2816.576 1807.284
156.147901036 4184.748 2816.616 1807.321
156.148901727 4184.789 2816.656 1807.358
156.149902419 4184.829 2816.696 1807.396
156.15090311 4184.87 2816.737 1807.433
156.151903802 4184.911 2816.777 1807.471
156.152904493 4184.952 2816.817 1807.508
156.153905185 4184.992 2816.857 1807.545
156.154905876 4185.033 2816.898 1807.583
156.155906568 4185.074 2816.938 1807.62
156.156907259 4185.115 2816.978 1807.658
156.157907951 4185.155 2817.019 1807.695
156.158908642 4185.196 2817.059 1807.732
156.159909334 4185.237 2817.099 1807.77
156.160910025 4185.278 2817.139 1807.807
156.161910717 4185.318 2817.18 1807.844
156.162911408 4185.359 2817.22 1807.882
156.1639121 4185.4 2817.26 1807.919
156.164912791 4185.441 2817.3 1807.957
156.165913483 4185.481 2817.341 1807.994
156.166914174 4185.522 2817.381 1808.031
156.167914866 4185.563 2817.421 1808.069
156.168915557 4185.604 2817.461 1808.106
156.169916249 4185.644 2817.502 1808.144
156.17091694 4185.685 2817.542 1808.181
156.171917632 4185.726 2817.582 1808.218
156.172918323 4185.767 2817.622 1808.256
156.173919015 4185.807 2817.663 1808.293
156.174919706 4185.848 2817.703 1808.331
156.175920398 4185.889 2817.743 1808.368
156.176921089 4185.93 2817.783 1808.405
156.177921781 4185.97 2817.824 1808.443
156.178922472 4186.011 2817.864 1808.48
156.179923164 4186.052 2817.904 1808.518
156.180923855 4186.093 2817.944 1808.555
156.181924547 4186.133 2817.985 1808.592
156.182925238 4186.174 2818.025 1808.63
156.18392593 4186.215 2818.065 1808.667
156.184926621 4186.256 2818.105 1808.705
156.185927313 4186.296 2818.146 1808.742
156.186928004 4186.337 2818.186 1808.779
156.187928696 4186.378 2818.226 1808.817
156.188929387 4186.419 2818.266 1808.854
156.189930079 4186.459 2818.307 1808.892
156.19093077 4186.5 2818.347 1808.929
156.191931462 4186.541 2818.387 1808.966
156.192932153 4186.582 2818.428 1809.004
156.193932845 4186.622 2818.468 1809.041
156.194933536 4186.663 2818.508 1809.079
156.195934228 4186.704 2818.548 1809.116
156.196934919 4186.745 2818.589 1809.153
156.197935611 4186.785 2818.629 1809.191
156.198936302 4186.826 2818.669 1809.228
156.199936994 4186.867 2818.709 1809.266
156.200937685 4186.908 2818.75 1809.303
156.201938377 4186.948 2818.79 1809.34
156.202939068 4186.989 2818.83 1809.378
156.20393976 4187.03 2818.87 1809.415
156.204940451 4187.071 2818.911 1809.453
156.205941143 4187.111 2818.951 1809.49
156.206941834 4187.152 2818.991 1809.527
156.207942526 4187.193 2819.031 1809.565
156.208943217 4187.234 2819.072 1809.602
156.209943909 4187.274 2819.112 1809.64
156.2109446 4187.315 2819.152 1809.677
156.211945292 4187.356 2819.192 1809.714
156.212945983 4187.397 2819.233 1809.752
156.213946675 4187.437 2819.273 1809.789
156.214947366 4187.478 2819.313 1809.827
156.215948058 4187.519 2819.353 1809.864
156.216948749 4187.56 2819.394 1809.901
156.217949441 4187.6 2819.434 1809.939
156.218950132 4187.641 2819.474 1809.976
156.219950824 4187.682 2819.515 1810.014
156.220951515 4187.723 2819.555 1810.051
156.221952207 4185.353 2814.252 1804.244
156.222952898 4185.393 2814.292 1804.282
156.22395359 4185.434 2814.333 1804.319
156.224954281 4185.475 2814.373 1804.357
156.225954973 4185.515 2814.413 1804.394
156.226955664 4185.556 2814.453 1804.431
156.227956356 4185.597 2814.494 1804.469
156.228957047 4185.638 2814.534 1804.506
156.229957739 4185.678 2814.574 1804.544
156.23095843 4185.719 2814.614 1804.581
156.231959122 4185.76 2814.655 1804.618
156.232959813 4185.801 2814.695 1804.656
156.233960504 4185.841 2814.735 1804.693
156.234961196 4185.882 2814.775 1804.73
156.235961887 4185.923 2814.816 1804.768
156.236962579 4185.964 2814.856 1804.805
156.23796327 4186.004 2814.896 1804.843
156.238963962 4186.045 2814.936 1804.88
156.239964653 4186.086 2814.976 1804.917
156.240965345 4186.126 2815.017 1804.955
156.241966036 4186.167 2815.057 1804.992
156.242966728 4186.208 2815.097 1805.029
156.243967419 4186.249 2815.137 1805.067
156.244968111 4186.289 2815.178 1805.104
156.245968802 4186.33 2815.218 1805.142
156.246969494 4186.371 2815.258 1805.179
156.247970185 4186.412 2815.298 1805.216
156.248970877 4186.452 2815.339 1805.254
156.249971568 4186.493 2815.379 1805.291
156.25097226 4186.534 2815.419 1805.329
156.251972951 4186.575 2815.459 1805.366
156.252973643 4186.615 2815.5 1805.403
156.253974334 4186.656 2815.54 1805.441
156.254975026 4186.697 2815.58 1805.478
156.255975717 4186.738 2815.62 1805.515
156.256976409 4186.778 2815.661 1805.553
156.2579771 4186.819 2815.701 1805.59
156.258977792 4186.86 2815.741 1805.628
156.259978483 4186.9 2815.781 1805.665
156.260979175 4186.941 2815.822 1805.702
156.261979866 4186.982 2815.862 1805.74
156.262980558 4187.023 2815.902 1805.777
156.263981249 4187.063 2815.942 1805.815
156.264981941 4187.104 2815.983 1805.852
156.265982632 4187.145 2816.023 1805.889
156.266983324 4187.186 2816.063 1805.927
156.267984015 4187.226 2816.103 1805.964
156.268984707 4187.267 2816.144 1806.001
156.269985398 4187.308 2816.184 1806.039
156.27098609 4187.349 2816.224 1806.076
156.271986781 4187.389 2816.264 1806.114
156.272987473 4187.43 2816.305 1806.151
156.273988164 4187.471 2816.345 1806.188
156.274988856 4187.512 2816.385 1806.226
156.275989547 4187.552 2816.425 1806.263
156.276990239 4187.593 2816.466 1806.301
156.27799093 4187.634 2816.506 1806.338
156.278991622 4187.674 2816.546 1806.375
156.279992313 4187.715 2816.586 1806.413
